"THỜI KHÓA BIỂU KHỐI 12, NĂM HỌC 2026 - 2027",,,,,,,,,,,,,,LẦN 1
BUỔI CHIỀU,,,,,,,,,,,,,,
Áp dụng: Từ ngày 06/9/2026,,,,,,,,,,,,,,
TT,,N.C. Tâm,P.H. Quang,H.N. Khánh,K.V. Mạnh,N.T. Quý,N.T. Hạnh,P.T. Mai,B.T.T. Phương,Q.T.T. Phương,L.T. Nhung,N.T.V. Hà,Đ.T.T. Linh,L.T. Nguyệt
Thứ,Tiết,12T,12L,12H,12S,12TIN,12V,12SỬ,12Đ,12A1,12A2,12P,12N,12TQ
Thứ 2,1,Nâng cao,Nâng cao,Nâng cao,TrN - P.T.Nga,Nâng cao,Nâng cao,TrN - T.T.T.Huế,Nâng cao,Nâng cao,TrN - B.M.Tuấn,Nâng cao,Nâng cao,Nâng cao
,2,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,GDĐP - Q.T.T.Quế,Nâng cao,Nâng cao,TrN - N.M.Hùng
,3,,TrN - P.T.M.Hòa,,,,,,,,,,,
,4,,,,,,,,,,,,,
Thứ 3,1,TrN - T.T.T.Hương,Nâng cao,Nâng cao,Nâng cao,TrN - L.Đ.Thọ,Nâng cao,Nâng cao,Nâng cao,TrN - T.T.P.Thùy,Nâng cao,Nâng cao,TrN - Đ.T.K.Nho,Nâng cao
,2,Nâng cao,Nâng cao,TrN - Đ.T.K.Nho,Nâng cao,Nâng cao,Nâng cao,Nâng cao,TrN - N.T.T.Hường,,Nâng cao,Nâng cao,GDĐP - T.T.N.Quỳnh,Nâng cao
,3,,,,,,,,,,,TrN - T.T.N.Quỳnh,QPAN - V.C.Cường,
,4,,,,,,,,,,,,,
Thứ 4,1,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao
,2,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao
,3,,,,,,,,,,,,,
,4,,,,,,,,,,,,,
Thứ 5,1,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao
,2,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao
,3,,,,,,,,,,,,,
,4,,,,,,,,,,,,,
Thứ 6,1,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao
,2,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao,Nâng cao
,3,,,,,,,,,,,,,
,4,,,,,,,,,,,,,
Thứ 7,1,,,,,,,,,,,,,
,2,,,,,,,,,,,,,
,3,,,,,,,,,,,,,
,4,,,,,,,,,,,,,
